Id,CustomerId,OrderDate,TotalAmount,Status,Notes,CreatedDate,ModifiedDate
1,1,2023-09-01 10:00:00,1400.0,Completed,,2025-08-13 16:26:56,2025-08-13 16:26:56
2,2,2023-09-02 11:30:00,200.0,Pending,,2025-08-13 16:26:56,2025-08-13 16:26:56
3,1,2025-07-18 05:15:00,3126.79,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
4,2,2025-07-10 17:32:00,2827.49,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
5,3,2025-08-10 11:32:00,797.54,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
6,4,2025-08-01 16:35:00,4438.2,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
7,5,2025-08-01 15:31:00,1033.34,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
8,6,2025-06-19 21:29:00,2232.41,Cancelled,,2025-08-14 14:12:48,2025-08-14 14:12:48
9,7,2025-07-05 09:13:00,2492.06,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
10,8,2025-06-23 11:35:00,4524.77,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
11,9,2025-07-24 06:11:00,2819.65,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
12,10,2025-08-25 10:19:00,4943.44,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
13,11,2025-08-23 16:40:00,956.24,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
14,12,2025-07-27 03:20:00,324.7,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
15,13,2025-06-08 19:21:00,2436.66,Cancelled,,2025-08-14 14:12:48,2025-08-14 14:12:48
16,14,2025-06-06 11:55:00,3884.05,Cancelled,,2025-08-14 14:12:48,2025-08-14 14:12:48
17,15,2025-06-23 14:17:00,4023.15,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
18,16,2025-08-11 12:10:00,487.22,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
19,17,2025-08-05 16:42:00,125.21,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
20,18,2025-07-16 20:35:00,1676.78,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
21,19,2025-08-27 20:58:00,4891.71,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
22,20,2025-06-03 13:47:00,4220.8,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
23,21,2025-08-28 23:17:00,3219.97,Cancelled,,2025-08-14 14:12:48,2025-08-14 14:12:48
24,22,2025-06-24 02:48:00,3367.58,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
25,23,2025-07-15 07:54:00,3795.41,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
26,24,2025-07-24 11:24:00,4708.14,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
27,25,2025-07-07 02:20:00,2052.06,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
28,26,2025-06-15 12:46:00,3255.32,Cancelled,,2025-08-14 14:12:48,2025-08-14 14:12:48
29,27,2025-08-26 08:42:00,3861.72,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
30,28,2025-06-15 07:33:00,2744.64,Cancelled,,2025-08-14 14:12:48,2025-08-14 14:12:48
31,29,2025-08-23 00:32:00,4846.94,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
32,30,2025-08-02 18:26:00,1877.01,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
33,31,2025-06-15 06:57:00,1150.22,Cancelled,,2025-08-14 14:12:48,2025-08-14 14:12:48
34,32,2025-07-28 15:48:00,2487.94,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
35,33,2025-07-24 11:35:00,1649.32,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
36,34,2025-06-06 23:44:00,4879.95,Cancelled,,2025-08-14 14:12:48,2025-08-14 14:12:48
37,35,2025-06-07 18:26:00,290.8,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
38,36,2025-06-19 00:44:00,4114.58,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
39,37,2025-06-03 19:01:00,3452.41,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
40,38,2025-07-15 05:41:00,2856.43,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
41,39,2025-06-07 00:11:00,416.19,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
42,40,2025-06-22 17:51:00,2180.0,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
43,41,2025-06-27 02:14:00,4104.99,Cancelled,,2025-08-14 14:12:48,2025-08-14 14:12:48
44,42,2025-06-25 11:39:00,3240.03,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
45,43,2025-07-12 14:31:00,2266.2,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
46,44,2025-07-18 07:27:00,3471.48,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
47,45,2025-06-25 11:24:00,4686.66,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
48,46,2025-07-16 19:48:00,1299.09,Cancelled,,2025-08-14 14:12:48,2025-08-14 14:12:48
49,47,2025-07-04 14:13:00,3898.91,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
50,48,2025-07-06 10:23:00,1928.89,Cancelled,,2025-08-14 14:12:48,2025-08-14 14:12:48
51,49,2025-08-21 01:28:00,4472.94,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
52,50,2025-06-28 19:15:00,1238.64,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
53,51,2025-08-20 00:41:00,1317.94,Cancelled,,2025-08-14 14:12:48,2025-08-14 14:12:48
54,52,2025-08-06 18:52:00,2698.95,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
55,53,2025-06-04 22:29:00,782.42,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
56,54,2025-08-25 14:13:00,3217.32,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
57,55,2025-08-16 05:01:00,2237.49,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
58,56,2025-06-03 21:13:00,2188.09,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
59,57,2025-07-03 23:27:00,3565.6,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
60,58,2025-06-24 05:10:00,3696.59,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
61,59,2025-06-04 03:00:00,3452.21,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
62,60,2025-07-13 22:05:00,278.15,Cancelled,,2025-08-14 14:12:48,2025-08-14 14:12:48
63,61,2025-07-01 08:37:00,4300.99,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
64,62,2025-06-24 14:17:00,2848.07,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
65,63,2025-06-18 01:44:00,3215.71,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
66,64,2025-07-18 23:47:00,2047.32,Cancelled,,2025-08-14 14:12:48,2025-08-14 14:12:48
67,65,2025-06-06 21:02:00,3989.32,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
68,66,2025-08-27 21:47:00,3537.8,Cancelled,,2025-08-14 14:12:48,2025-08-14 14:12:48
69,67,2025-06-08 18:27:00,3258.02,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
70,68,2025-08-12 14:18:00,1549.95,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
71,69,2025-06-19 11:13:00,2957.26,Cancelled,,2025-08-14 14:12:48,2025-08-14 14:12:48
72,70,2025-07-02 22:00:00,1890.42,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
73,71,2025-07-26 21:20:00,536.57,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
74,72,2025-08-16 10:59:00,864.79,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
75,73,2025-06-16 19:24:00,4429.42,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
76,74,2025-07-11 16:37:00,4365.04,Cancelled,,2025-08-14 14:12:48,2025-08-14 14:12:48
77,75,2025-07-15 07:49:00,544.4,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
78,76,2025-08-23 02:26:00,3175.92,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
79,77,2025-08-27 16:03:00,4293.09,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
80,78,2025-08-15 04:31:00,4130.75,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
81,79,2025-07-12 02:13:00,4883.39,Cancelled,,2025-08-14 14:12:48,2025-08-14 14:12:48
82,80,2025-06-07 02:24:00,2931.18,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
83,81,2025-08-05 04:30:00,3069.57,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
84,82,2025-06-17 14:44:00,4633.36,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
85,83,2025-07-13 11:37:00,643.85,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
86,84,2025-06-13 04:26:00,1917.32,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
87,85,2025-08-01 01:41:00,4163.31,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
88,86,2025-07-22 03:20:00,3938.9,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
89,87,2025-08-07 10:14:00,1641.56,Cancelled,,2025-08-14 14:12:48,2025-08-14 14:12:48
90,88,2025-08-25 20:15:00,3974.12,Cancelled,,2025-08-14 14:12:48,2025-08-14 14:12:48
91,89,2025-06-22 10:25:00,4881.3,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
92,90,2025-07-18 08:10:00,4932.05,Cancelled,,2025-08-14 14:12:48,2025-08-14 14:12:48
93,91,2025-08-09 21:22:00,1162.23,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
94,92,2025-08-23 20:09:00,3841.58,Cancelled,,2025-08-14 14:12:48,2025-08-14 14:12:48
95,93,2025-07-06 23:04:00,3494.4,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
96,94,2025-07-13 09:17:00,2031.9,Cancelled,,2025-08-14 14:12:48,2025-08-14 14:12:48
97,95,2025-07-27 01:20:00,3628.72,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
98,96,2025-07-04 15:15:00,2771.96,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
99,97,2025-08-01 09:01:00,1602.63,Cancelled,,2025-08-14 14:12:48,2025-08-14 14:12:48
100,98,2025-07-01 09:21:00,2055.12,Pending,,2025-08-14 14:12:48,2025-08-14 14:12:48
101,99,2025-07-28 14:15:00,441.78,Cancelled,,2025-08-14 14:12:48,2025-08-14 14:12:48
102,100,2025-07-09 20:12:00,1020.27,Completed,,2025-08-14 14:12:48,2025-08-14 14:12:48
